,movieId,title,overview,poster_path,video_key,genresId
618,1587,What's Eating Gilbert Grape,"Gilbert Grape is a small-town young man with a lot of responsibility. Chief among his concerns are his mother, who is so overweight that she can't leave the house, and his mentally impaired younger brother, Arnie, who has a knack for finding trouble. Settled into a job at a grocery store and an ongoing affair with local woman Betty Carver, Gilbert finally has his life shaken up by the free-spirited Becky.",/8FxWgsfDNosewo7H65oE4QkOb7g.jpg,https://www.youtube.com/embed/wpSGFets1oM,"9,12,14"
619,1588,Bring It On,"The Toro cheerleading squad from Rancho Carne High School in San Diego has got spirit, spunk, sass and a killer routine that's sure to land them the national championship trophy for the sixth year in a row. But for newly-elected team captain Torrance, the Toros' road to total cheer glory takes a shady turn when she discovers that their perfectly-choreographed routines were in fact stolen.",/hbCY1kJ2aQN6rBXRRdxysZRPn7e.jpg,https://www.youtube.com/embed/NcW73CYMxaw,"4,16"
620,1591,Nowhere in Africa,"A Jewish woman named Jettel Redlich flees Nazi Germany with her daughter Regina, to join her husband, Walter, on a farm in Kenya. At first, Jettel refuses to adjust to her new circumstances, bringing with her a set of china dishes and an evening gown. While Regina adapts readily to this new world, forming a strong bond with her father's cook, an African named Owuor.",/2ED1GaTKhHielGYa1giBsxfoacp.jpg,https://www.youtube.com/embed/Hep5_o--OEE,"2,9,13,14"
621,1592,Primal Fear,"An arrogant, high-powered attorney takes on the case of a poor altar boy found running away from the scene of the grisly murder of the bishop who has taken him in. The case gets a lot more complex when the accused reveals that there may or may not have been a third person in the room. The intensity builds when a surprise twist alters everyone's perception of the crime.",/qJf2TzE8nRTFbFMPJNW6c8mI0KU.jpg,https://www.youtube.com/embed/PnmTi7hSjrA,"4,16"
622,1593,Night at the Museum,"Chaos reigns at the natural history museum when night watchman Larry Daley accidentally stirs up an ancient curse, awakening Attila the Hun, an army of gladiators, a Tyrannosaurus rex and other exhibits.",/uY9k8t2FQkMj60obnAnsPKLxHCE.jpg,https://www.youtube.com/embed/YXu7kqD1JLs,"4,18"
623,1594,A Shot in the Dark,A Shot in the Dark is the second and more successful film from the Pink Panther film series where both animated and real life sequences are mixed. A cult classic from Blake Edwards based on the play L’Idiot by Marcel Achard and Harry Kurnitz.,/pR6tNqNLYIbRRYC5TFKWVWaVvvK.jpg,https://www.youtube.com/embed/v8K1e2hxqs4,"4,19"
624,1597,Meet the Parents,"Greg Focker is ready to marry his girlfriend, Pam, but before he pops the question, he must win over her formidable father, humorless former CIA agent Jack Byrnes, at the wedding of Pam's sister. As Greg bends over backward to make a good impression, his visit to the Byrnes home turns into a hilarious series of disasters, and everything that can go wrong does, all under Jack's critical, hawklike gaze.",/jX9D6uVaYFZIwFMfD3pEPp4Lu6u.jpg,https://www.youtube.com/embed/9542640,"13,15,18,19"
625,1598,Cape Fear,"Sam Bowden is a small-town corporate attorney. Max Cady is a tattooed, cigar-smoking, bible-quoting, psychotic rapist. What do they have in common? Fourteen years ago, Sam was a public defender assigned to Max Cady's rape trial, and he made a serious error: he hid a document from his illiterate client that could have gotten him acquitted. Now, the cagey, bibliophile Cady has been released, and he intends to teach Sam Bowden and his family a thing or two about loss.",/meJZAAuVcjic2ipvbOPz5UlE4P9.jpg,https://www.youtube.com/embed/jsXIpnMRu88,"3,13,19"
626,1599,I ♥ Huckabees,"A husband-and-wife team play detective, but not in the traditional sense. Instead, the happy duo helps others solve their existential issues, the kind that keep you up at night, wondering what it all means.",/1S27OZjga5YX4vFqLQ4T2mTIvhk.jpg,https://www.youtube.com/embed/2jqEoioTQDk,9
627,1600,The Double Life of Véronique,"Véronique is a beautiful young French woman who aspires to be a renowned singer; Weronika lives in Poland, has a similar career goal and looks identical to Véronique, though the two are not related. The film follows both women as they contend with the ups and downs of their individual lives, with Véronique embarking on an unusual romance with Alexandre Fabbri, a puppeteer who may be able to help her with her existential issues.",/oqRyO9xrNBRaxqF9pCHHgLuaATx.jpg,https://www.youtube.com/embed/iBrPfR6oMsM,"18,19"
628,1610,Fever Pitch,"A romantic comedy about a man, a woman and a football team. Based on Nick Hornby's best selling autobiographical novel, Fever Pitch. English teacher Paul Ashworth believes his long standing obsession with Arsenal serves him well. But then he meets Sarah. Their relationship develops in tandem with Arsenal's roller coaster fortunes in the football league, both leading to a nail biting climax.",/xTpZGWVo5DDk1oQUrUJcRjqGzGg.jpg,https://www.youtube.com/embed/GMr2daGzvnk,"9,13,14"
629,1613,The 51st State,An American master chemist plans to score big on a once in a lifetime drug deal. All does not go as planned and he is soon entangled in a web of deceit.,/ajzAIFigdM2r4ZsGVa7dB6LSxN7.jpg,https://www.youtube.com/embed/CaGy5JkZiis,19
630,1619,The Way of the Gun,Two criminal drifters without sympathy get more than they bargained for after kidnapping and holding for ransom the surrogate mother of a powerful and shady man.,/jimlDfzdPXZwOXCZVCCg1Kuouhm.jpg,https://www.youtube.com/embed/LFtd-9bvydI,"5,14,19"
631,1620,Hitman,"The best-selling videogame, Hitman, roars to life with both barrels blazing in this hardcore action-thriller starring Timothy Olyphant. A genetically engineered assassin with deadly aim, known only as ""Agent 47"" eliminates strategic targets for a top-secret organization. But when he's double-crossed, the hunter becomes the prey as 47 finds himself in a life-or-death game of international intrigue.",/s2MljXzJpHofSJA0OIhvlDWGR8a.jpg,https://www.youtube.com/embed/XJhNzHyq-IE,"3,13,15,19"
632,1621,Trading Places,A snobbish investor and a wily street con-artist find their positions reversed as part of a bet by two callous millionaires.,/8mBuLCOcpWnmYtZc4aqtvDXslv6.jpg,https://www.youtube.com/embed/vEaXAsbvHV4,19
633,1623,Brubaker,The new warden of a small prison farm in Arkansas tries to clean it up of corruption after initially posing as an inmate.,/fjf3elnOC32m1BdNyxiL8CzNc6t.jpg,https://www.youtube.com/embed/WXYcSrCn4BA,10
634,1624,Liar Liar,"Fletcher Reede is a fast-talking attorney and habitual liar. When his son Max blows out the candles on his fifth birthday he has just one wish - that his dad will stop lying for 24 hours. When Max's wish comes true, Fletcher discovers that his mouth has suddenly become his biggest liability.",/p1habYSdC7oD3WygQ5lynU5G5rV.jpg,https://www.youtube.com/embed/C1no75lpOiw,19
635,1633,Fried Green Tomatoes,"Amidst her own personality crisis, southern housewife Evelyn Couch meets Ninny, an outgoing old woman who tells her the story of Idgie Threadgoode and Ruth Jamison, two young women who experienced hardships and love in Whistle Stop, Alabama in the 1920s.",/g71l1vbJwyAAYk8zKCkIQQ58qcb.jpg,https://www.youtube.com/embed/o5hb5mc-dfI,19
636,1635,The Island,"In 2019, Lincoln Six-Echo is a resident of a seemingly ""Utopian"" but contained facility. Like all of the inhabitants of this carefully-controlled environment, Lincoln hopes to be chosen to go to The Island — reportedly the last uncontaminated location on the planet. But Lincoln soon discovers that everything about his existence is a lie.",/rJonkVkNZB23VLeoA8iGvWWZ88Z.jpg,https://www.youtube.com/embed/91SMVT1RiPA,19
637,1639,Speed 2: Cruise Control,A computer hacker breaks into the computer system of the Seabourn Legend cruise liner and sets it speeding on a collision course into a gigantic oil tanker.,/ybyxFABzKIf2t1L4HkTEosg9bGh.jpg,https://www.youtube.com/embed/tRAxg_8HAsc,"4,18,19"
638,1641,Forces of Nature,"Ben Holmes, a professional book-jacket blurbologist, is trying to get to Savannah for his wedding. He just barely catches the last plane, but a seagull flies into the engine as the plane is taking off. All later flights are cancelled because of an approaching hurricane, so he is forced to hitch a ride in a Geo Metro with an attractive but eccentric woman named Sara.",/gWweBW5KsJltloutMp7GCCVyNxr.jpg,https://www.youtube.com/embed/gRb5JFHpzew,"4,19"
639,1642,The Net,"Angela Bennett is a freelance software engineer who lives in a world of computer technology. When a cyber friend asks Bennett to debug a new game, she inadvertently becomes involved in a conspiracy that will soon turn her life upside down and make her the target of an assassination.",/dtupntUFMD5iXBo8HLfALt2ET4R.jpg,https://www.youtube.com/embed/46qKHq7REI4,"4,19"
640,1643,Last Tango in Paris,A recently widowed American begins an anonymous sexual relationship with a young Parisian woman.,/b3xnRjksQr4AjVTJAE1DKoxdCGU.jpg,https://www.youtube.com/embed/3x4UOsLC0OE,"18,19"
641,1644,The Vanishing,"A young woman mysteriously disappears, sending her boyfriend Jeff on a years-long quest to find her. Not even a new love can keep him from his obsessive search. All the while, the calculating psychopath who kidnapped his girlfriend stalks Jeff, ultimately taking him through the exact same steps that led to the crime. In order to find out what happened, Jeff must put his own life in the hands of this devious stranger.",/6d5Hf0iIGjkxL1ToOp3gi8co5pc.jpg,https://www.youtube.com/embed/cBg7gjX9xBM,"10,13,15"
642,1645,A Time to Kill,"A young lawyer defends a black man accused of murdering two white men who raped his 10-year-old daughter, sparking a rebirth of the KKK.",/apUSR9WE7lMATBGYhzZ8RnPDYsK.jpg,https://www.youtube.com/embed/jE3hXfUtrIE,"13,15,19"
643,1646,Freedom Writers,"A young teacher inspires her class of at-risk students to learn tolerance, apply themselves, and pursue education beyond high school.",/bffP9cAgOHsMNnc55zIXrDnz7QD.jpg,https://www.youtube.com/embed/MT0L1U-Rdj4,"2,4,16,18"
644,1647,The Recruit,"A brilliant CIA trainee must prove his worth at the Farm, the agency's secret training grounds, where he learns to watch his back and trust no one.",/zd9eNagUB7FEaqffnSw3n3Nii4p.jpg,https://www.youtube.com/embed/TYvVJRtN0vg,"3,13,19"
645,1648,Bill & Ted's Excellent Adventure,"Bill and Ted are high school buddies starting a band. They are also about to fail their history class—which means Ted would be sent to military school—but receive help from Rufus, a traveller from a future where their band is the foundation for a perfect society. With the use of Rufus' time machine, Bill and Ted travel to various points in history, returning with important figures to help them complete their final history presentation.",/tV25lGWGWGEqUe3U0xjQTBgilSx.jpg,https://www.youtube.com/embed/gxFxklxvE_w,"4,19"
646,1649,Bill & Ted's Bogus Journey,"Amiable slackers Bill and Ted are once again roped into a fantastical adventure when De Nomolos, a villain from the future, sends evil robot duplicates of the two lads to terminate and replace them. The robot doubles actually succeed in killing Bill and Ted, but the two are determined to escape the afterlife, challenging the Grim Reaper to a series of games in order to return to the land of the living.",/6UkNsSAxDLpyXwu6MboRP7fXcDI.jpg,https://www.youtube.com/embed/F8_kl6i4lT4,6
647,1652,00 Schneider - Jagd auf Nihil Baxter,"The funny clown Bratislav Metulskie is found dead in circus ""Apollo"". The retired commissioner 00 Schneider is asked to assume control of the case. Schneider and his aged sidekick Körschgen investigate to find the murderer.",/rPgKMc3GPG52hVJzSzbDBAYJqjz.jpg,https://www.youtube.com/embed/xU-JHUI5xok,6
648,1653,The Motorcycle Diaries,"Based on the journals of Che Guevara, leader of the Cuban Revolution. In his memoirs, Guevara recounts adventures he and best friend Alberto Granado had while crossing South America by motorcycle in the early 1950s.",/qz2aBYT8CAiJYvX4fRZpJ5G0Oz1.jpg,https://www.youtube.com/embed/RWBsQArUkQY,"2,13,19"
649,1654,The Dirty Dozen,"12 American military prisoners in World War II are ordered to infiltrate a well-guarded enemy château and kill the Nazi officers vacationing there. The soldiers, most of whom are facing death sentences for a variety of violent crimes, agree to the mission and the possible commuting of their sentences.",/iFpgjfE4gt7guOLvrqgZZoO4Rjk.jpg,https://www.youtube.com/embed/ff1V6ywnWcY,"12,16,19"
650,1656,The Legend of Zorro,"Having spent the last 10 years fighting injustice and cruelty, Alejandro de la Vega is now facing his greatest challenge: his loving wife Elena has thrown him out of the house!  Elena has filed for divorce and found comfort in the arms of Count Armand, a dashing French aristocrat.  But Alejandro knows something she doesn't: Armand is the evil mastermind behind a terrorist plot to destroy the United States.  And so, with his marriage and the county's future at stake, it's up to Zorro to save two unions before it's too late.",/duZDsuIA2uX93Vujtm89oHeTFqE.jpg,https://www.youtube.com/embed/lawMFyG9Kqg,"18,19"
651,1659,Texas - Doc Snyder hält die Welt in Atem,No overview found.,/ybD59vpUjk5xjW0rRBRxcLwdjms.jpg,https://www.youtube.com/embed/orHfgnsJWd4,19
652,1662,State of Grace,"Terry Noonan returns home to New York's Hells Kitchen after a ten year absence. He soon hooks up with childhood pal Jackie who is involved in the Irish mob run by his brother Frankie. Terry also rekindles an old flame with Jackie's sister Kathleen. Soon, however, Terry is torn between his loyalty to his friends and his loyalties to others.",/r993ghg3cuP38VqiqwT4LKkuOxI.jpg,https://www.youtube.com/embed/PN_L96iEQfQ,3
653,1665,Last Days,"The life and struggles of a notorious rock musician seeping into a pit of loneliness whose everyday life involves friends and family seeking financial aid and favors, inspired by rock music legend Kurt Cobain and his final hours.",/btbp47CHXgLhw30kyDoVfNFLB3g.jpg,https://www.youtube.com/embed/EG1dt0I1wps,4
654,1667,March of the Penguins,"Every year, thousands of Antarctica's emperor penguins make an astonishing journey to breed their young. They walk, marching day and night in single file 70 miles into the darkest, driest and coldest continent on Earth.  Morgan Freeman narrates this amazing, true-life tale touched with humour and alive with thrills. Breathtaking photography captures the transcendent beauty and staggering drama of devoted parent penguins who, in the fierce polar winter, take turns guarding their egg and trekking to the ocean in search of food. Predators hunt them, storms lash them. But the safety of their adorable chicks makes it all worthwhile. So follow the leader ... to adventure!!",/o9xJ1xG1WKlHkl8ACqq0LShOuMu.jpg,https://www.youtube.com/embed/JZWt5YkhVp8,"9,19"
655,1672,The Professional,"French secret agent Joss Baumont is sent to kill the president Njala of an African country. However, a counter-order is given before he can execute his mission and he is abandoned in the hands of foreign authorities. He escapes and seeks revenge by pursuing what was his original mission.",/1Crro6hN91lXc1sWXkU52tfjpAs.jpg,https://www.youtube.com/embed/kNBcTM9so8k,19
656,1675,Day for Night,"A committed film director struggles to complete his movie while coping with a myriad of crises, personal and professional, among the cast and crew.",/e5xDrSx6zDEUlMe2dWKGhv88PDZ.jpg,https://www.youtube.com/embed/RZEJqRfmudo,"3,13"
657,1677,Ray,"Born on a sharecropping plantation in Northern Florida, Ray Charles went blind at seven. Inspired by a fiercely independent mom who insisted he make his own way, He found his calling and his gift behind a piano keyboard. Touring across the Southern musical circuit, the soulful singer gained a reputation and then exploded with worldwide fame when he pioneered couping gospel and country together.",/nweucNFvw8B5u8Mi0UQqUQCk8TG.jpg,https://www.youtube.com/embed/X1rJvSF3l6k,"4,19"
658,1678,Godzilla,"Japan is thrown into a panic after several ships explode and are sunk near Odo Island. An expedition to the island led by paleontologist Professor Kyohei Yemani soon discover something more devastating than imagined in the form of a 50 meter tall monster whom the natives call Gojira. Now the monster begins a rampage that threatens to destroy not only Japan, but the rest of the world as well.",/fg635r7DxfmbQpnIh7vLCOsGoOG.jpg,https://www.youtube.com/embed/KNDH2mX8wf4,"18,19"
659,1680,King Kong vs. Godzilla,"The original comedic Japanese version of the film with a narrative structure different from the more famous American cut. Tako, advertising director of Pacific Pharmaceuticals, is frustrated with the low ratings of the educational TV program they're sponsoring. Seeking a more sensationalist approach he orders his staff to head to Faro Island after discovering the legend of King Kong, believing the monster can be used as a publicity stunt to sell more product. When Godzilla re-emerges from an iceberg, a media frenzy generates just as Tako brings his own monster back to Japan. People begin to wonder and debate over which monster can beat who as Tako seeks to capitalize off of the biggest wrestling match of all time. After decades of obscurity, the original Japanese version of the film saw an official release via Criterion in 2019.",/aSJyNAFmKvbHoGnHKaFKKwPAkZv.jpg,https://www.youtube.com/embed/JREeTkwMtXY,"18,19"
660,1682,Mothra vs. Godzilla,"The wreckage of a typhoon is covered by reporter Ichiro Sakai and his photographer Junko Nakanishi, as an enormous egg is discovered to have washed ashore. The local villagers claim it and sell it off to unscrupulous entrepreneurs as Mothra's faries, the Shobijin, arrive to plead for its return to the natives of Infant Island. Aided by Sakai and Junko, the fairies are denied their request as Godzilla arises near Nagoya, washed ashore by the same typhoon. The people of Infant Island must now decide whether to help the people of Japan as Mothra seeks to protect both her children, and the world, against the menace of Godzilla",/rDTf5sXRM9wKCj8pqcjvGnHFSvH.jpg,https://www.youtube.com/embed/S_DMKmRmdBg,"2,4,19"
